title,description,url,folder,tags,created,cover,highlights
Agile Alliance,Agile Alliance,https://www.agilealliance.org/,Agile,"Scaled Agile, Agile, References",2023-01-11T11:42:13.857Z,https://www.agilealliance.org/wp-content/uploads/2021/02/agile-alliance-feature-2021.jpg,
ASK - Agile Scaling Knowledge,ASK,http://www.agilescaling.com/,Agile,Scaled Agile,2023-01-11T10:23:39.116Z,http://nebula.wsimg.com/59f143ff94bc9da3ee8981b74c173c7e?AccessKeyId=5454D3FB63A632E45D8D&disposition=0&alloworigin=1,
Flight Levels in Action | Agile Academy,Agile,https://www.agile-academy.com/en/organizational-development/flight-levels-in-action-klaus-leopold/,Agile,"References, Agile",2022-12-25T07:04:23.693Z,https://defo0p6yzl68u.cloudfront.net/production/images/agile-academy-og.png,
Overview - Large Scale Scrum (LeSS),Less,https://less.works/,Agile,"References, Scrum",2022-12-25T11:38:44.346Z,https://less.works/img/LeSS-overview-diagram.png,
JadeALM – Go beyond Sprints and Issue tracking,Agile,https://jadealm.com/,Agile,"Agile, References",2022-12-23T02:34:39.959Z,https://jadealm.com/wp-content/uploads/2021/07/jadealm.png,
Agile Tools and Techniques | Project Resources,Agile,https://projectresources.cdt.ca.gov/agile/agile-tools-and-techniques/,Agile,Agile,2022-12-22T16:06:32.565Z,,
Agile Retrospective Resource Wiki,Agile,https://retrospectivewiki.org/index.php?title=Agile_Retrospective_Resource_Wiki,Agile,Agile,2022-12-22T15:59:42.299Z,,
A chaordic leadership model for a virtual project management environment,Choadic,https://www.pmi.org/learning/library/leadership-model-virtual-pm-environment-108,Agile,"Agile, References",2022-12-19T16:41:40.431Z,,
What is a Burn Up Chart & How to Use it? | ClickUp,Burn up,https://clickup.com/blog/burn-up-chart/,Agile,"References, Scrum",2022-12-16T09:10:50.330Z,https://clickup.com/blog/wp-content/uploads/2020/02/burnup-charts.png,
Trello,Trello,https://trello.com/b/fTkehk1g,Agile,Agile,2022-12-04T03:39:49.369Z,https://trello-backgrounds.s3.amazonaws.com/5ba0132fd2220e52c5327d8d/256x145/40a2fd73ad86b5d770b695c835192ade/Screen_Shot_2021-10-25_at_3.56.37_PM.png,
Information Vaults and Radiators,Agile,https://www.leadingagile.com/2017/11/information-radiator-information-vaults/,Agile,Agile,2022-12-08T12:49:07.432Z,https://www.leadingagile.com/wp-content/uploads/2017/11/web_vault_door.jpg,
Agile Metrics: The 15 That Actually Matter for Success - Plutora.com,Agile Metrics,https://www.plutora.com/blog/agile-metrics,Agile,Agile,2022-12-08T13:11:19.113Z,https://www.plutora.com/wp-content/uploads/2019/10/20191029-Blog-Social-Agile-Metrics.jpg,
Maximizing the Value of Agile Metrics | LeadingAgile,Leading Agile,https://www.leadingagile.com/podcast/maximizing-the-value-of-agile-metrics/,Agile,Agile,2022-12-08T12:58:19.886Z,https://www.leadingagile.com/wp-content/uploads/2022/11/Agile-Metrics-Podcast_SoundNotes-brand2-604x340.png,
Famous laws of Software development,Laws,https://www.timsommer.be/famous-laws-of-software-development/,Agile,"Kanban, Scrum, Agile, References",2022-12-04T04:05:09.366Z,https://www.timsommer.be/content/images/2017/12/giammarco-boscaro-380903-1.jpg,
Cumulative Flow Diagram: What Is It And How To Read?,CFD,https://rovitpm.com/cumulative-flow-diagram/,Agile,"Agile, Kanban, References, Scrum",2022-12-03T11:30:47.062Z,,
Technical debt,Technical debt,https://refactoring.guru/refactoring/technical-debt,Agile,"Agile, References",2022-12-01T08:54:44.547Z,https://refactoring.guru/images/refactoring/social/facebook-share-preview.png?id=dbf9e98269595be86eb668f365be6868,
Code Smells,Code smell,https://refactoring.guru/refactoring/smells,Agile,Agile,2022-12-01T08:49:40.731Z,https://refactoring.guru/images/refactoring/social/facebook-share-preview.png?id=dbf9e98269595be86eb668f365be6868,
The Benefits of Tailoring | PMI,Tailoring,"https://www.pmi.org/learning/library/tailoring-benefits-project-management-methodology-11133#:~:text=Tailoring%20is%20the%20process%20of,in%20use%20by%20the%20organization.",Agile,"Agile, References",2022-11-25T17:03:57.024Z,,
What is Lean Agile Project Management? - Kanban Zone Blog,Agile,https://kanbanzone.com/2020/what-is-lean-agile-project-management/,Agile,"Agile, Kanban",2022-11-18T12:53:36.071Z,https://kanbanzone.com/wp-content/uploads/2020/04/AdobeStock_193376493-scaled.jpeg,
Agile Academy - Your professional partner for Agile & Scrum,Scrum,https://www.agile-academy.com/en/,Agile,"Agile, Scrum",2022-11-06T13:59:18.399Z,https://agile-academy.s3.eu-central-1.amazonaws.com/production/layout/agile-academy-og.png,
Open Source Project Management Software-Scrum Tool - ZenTao,Agile,https://www.zentao.pm/index.mhtml,Agile,"Agile, Kanban",2022-11-06T13:56:44.801Z,,
What is DevOps? | Atlassian,Agile,https://www.atlassian.com/devops,Agile,Agile,2022-10-30T13:10:47.057Z,https://wac-cdn.atlassian.com/dam/jcr:33c6ebab-72c3-45b1-8acc-a3e413e10477/social-share.png,
Momenton – Medium,Agile,https://medium.com/momenton,Agile,References,2022-10-26T11:28:18.070Z,https://cdn-images-1.medium.com/max/1200/1*h5Co3hr9jKTDi1Y6hdDwNg@2x.png,
What is Scrumban? | Planview,Scrumban is an Agile development methodology,https://www.planview.com/resources/guide/what-is-scrum/lkdc-what-is-scrumban/,Agile,"Agile, Kanban, Scrum",2022-10-13T06:44:18.144Z,https://media.planview.com/wp-content/uploads/2020/01/social-planview-rebrand-min.jpg,
Online Scrum Board | Agile Tools & Software | Wrike,Agile,https://www.wrike.com/features/scrum-board/,Agile,Agile,2022-10-17T17:37:51.736Z,https://cdn.wrike.com/image/__cdnu/illustration_abstract_rebrand-meta-pic_shapes_electric.png,
Sprint review vs. sprint retrospective: Why the difference matters - LogRocket Blog,Agile,"https://blog.logrocket.com/product-management/sprint-review-vs-retrospective/#:~:text=The%20sprint%20review%20is%20focused,in%20the%20sprint%20review%20meeting.",Agile,Agile,2022-10-17T17:13:55.865Z,https://blog.logrocket.com/wp-content/uploads/2022/07/sprint-review-vs-retrospective.png,
Agile leadership - more agility with the OKR method,Agile,"https://www.workpath.com/magazine/agile-leadership#:~:text=OKR%20(Objectives%20Key%20Results)%3A,quantifiable%20measures%2C%20the%20Key%20Results.",Agile,"Agile, References, Scrum",2022-09-18T12:22:01.898Z,https://assets.website-files.com/5dc2f8d7ea14a8c4c7808afe/617a7a2a477d77a14f362f2e_500x500.png,
martinfowler.com,Blog,https://martinfowler.com/,Agile,"Agile, References",2022-06-21T16:11:34.965Z,https://martinfowler.com/logo-sq.png,
Index jira,Jira,https://university.atlassian.com/uploads/resource_courses/targets/3130587/original/scormdriver/indexAPI.html,Agile,"Training Resources, References",2022-06-19T08:32:05.827Z,,
Remote Management Solution - TeamViewer,Team viewef,https://www.teamviewer.com/en-us/remote-management/,Agile,Agile,2022-05-17T18:50:39.304Z,https://static.teamviewer.com/resources/2018/12/Facebook_v1.png,
Trunk-based Development | Atlassian,Atlassian,https://www.atlassian.com/continuous-delivery/continuous-integration/trunk-based-development#,Agile,"Agile, Scrum",2022-02-28T18:44:12.040Z,,
"Swarming: Instantly Boost Scrum Team Productivity, Here's How...","Swarming is a simple (but often overlooked) way to boost your Scrum Team's velocity, consistently used by hyper-productive teams. Here's why it works so well...",https://www.scruminc.com/swarming-instantly-boost-scrum-team-productivity/,Agile,"Swarming, Agile, Scrum",2022-02-12T16:21:13.713Z,https://www.scruminc.com/wp-content/uploads/2020/01/swarming-in-agile-scrum_012220.jpg,
Hoshin Planning: Connect Strategic Planning to Project Execution,What exactly is Hoshin Kanri? What are the benefits of using Hoshin Planning? How to implement it? Find the answers here.,https://kanbanize.com/lean-management/hoshin-kanri/what-is-hoshin-kanri,Agile,Kanban,2022-02-10T17:28:34.699Z,https://kanbanize.com/images/og_image.jpg?v=new,
Agile and Scrum videos | SCRUMstudy,"Get the most out of SCRUMstudy Agile and Scrum Videos! Our free, recorded videos on Scrum Developer Certified, Scrum Master Certified, SCRUMstudy Agile Master Certified, provides all the background you need to understand what Scrum and Agile is and how it can work for your team.",https://www.scrumstudy.com/freeresources/scrum-free-videos,Agile,Agile,2022-01-22T19:08:53.377Z,,
Business Agility | Agility Planning | Scaled Agile Framework | Scaled Agile,"Provider of SAFe® - Adopt the Scaled Agile Framework® (SAFe) used by 1,000,000 people in 20,000 organizations.",https://scaledagile.com/,Agile,"Agile, Scaled Agile",2022-01-22T15:38:05.100Z,https://scaledagile.com/wp-content/uploads/2021/10/jumbotron.png,
Fluid Scaling Technology,"Made in and for the Age of Disruption. FAST harnesses the same creative organizing force of the universe itself - self-organization.  FAST combines Open Space and Open Allocation to create a lightweight, simple to understand, and simple to master agile method - that scales!",https://www.fastagile.io/home,Agile,Agile,2022-01-22T15:34:46.096Z,https://lh3.googleusercontent.com/lEdP0T4wumNRMNMYRYCSF_poNG8XLt5T8LyAEUEyyc7K3PM_DdHz5puIyhqOVbEYt09yPQ=w16383,
How to improve User Stories’ readiness and maturity so that the team can complete them quickly inside a Sprint? - Scaling Agile AgileSparks,Agile Sparks,https://www.agilesparks.com/blog/how-to-improve-user-stories-readiness-and-maturity-so-that-the-team-can-complete-them-quickly-inside-a-sprint/,Agile,Agile,2022-01-19T18:54:01.087Z,https://www.agilesparks.com/wp-content/uploads/2021/11/Checking-a-cake.jpg,
Sigmoid Function Definition | DeepAI,DeepAI,https://deepai.org/machine-learning-glossary-and-terms/sigmoid-function,AI,References,2023-03-09T06:28:36.071Z,https://images.deepai.org/glossary-terms/67991ca693c64ceeb6687c64ca3589d5/sig_vs_tanh.png,
Vanishing Gradient Problem Definition | DeepAI,DeepAI,https://deepai.org/machine-learning-glossary-and-terms/vanishing-gradient-problem,AI,AI,2023-03-09T06:35:54.653Z,https://images.deepai.org/glossary-terms/1ae160b538aa487ab959add5c20d9b52/vanishing-gradient-problem.jpg,
How to save a ChatGPT conversation to revisit later | ZDNET,ChatGpt,https://www.zdnet.com/article/how-to-save-a-chatgpt-conversation/,AI,Chatgpt,2023-03-09T05:57:41.039Z,https://www.zdnet.com/a/img/resize/375382f801bc0e1b50b07d660c5c19a15dd05384/2023/03/06/87b92c51-83e2-40b1-afaa-4b15464e8cf7/gettyimages-1246656790-1.jpg?auto=webp&fit=crop&height=675&width=1200,
https://chat.openai.com,Chatgpt,https://chat.openai.com/,AI,Chatgpt,2023-03-06T18:11:50.210Z,,
CHAT CPT,Chat gpt,https://chat.openai.com/chat,AI,,2023-03-06T04:01:25.368Z,,
OpenAI Help Center,Help. Chatgpt,https://help.openai.com/en/,AI,AI,2023-03-06T03:50:14.545Z,,
A Complete Understanding of Dense Layers in Neural Networks,Neural Networks,https://analyticsindiamag.com/a-complete-understanding-of-dense-layers-in-neural-networks/,AI,"AI, Neural Networks",2023-02-28T09:06:05.104Z,https://149695847.v2.pressablecdn.com/wp-content/uploads/2021/09/image-120.png,
DALL·E 2,AI,https://openai.com/dall-e-2/,AI,AI,2023-01-07T14:42:06.070Z,https://openai.com/content/images/2022/04/dall-e-2-og.jpg,
OpenAI Research,Research,https://openai.com/research/,AI,AI,2023-01-07T14:56:52.110Z,https://openai.com/content/images/2022/05/twitter-1.png,
New Technologies Making Waves in the E-commerce Sector,AI,https://www.techopedia.com/4-new-technologies-making-waves-in-the-e-commerce-sector/2/34623,AI,AI,2022-11-15T18:17:33.876Z,https://images.techopedia.com/images/uploads/e_commerce_technologies.jpg,
Evolution of AI in Logistics and Supply Chain Sector will Drive More Revenue to Companies,AI,https://www.automation.com/en-us/articles/september-2021/evolution-ai-logistics-supply-chain-revenue,AI,"AI, IOT",2022-11-15T18:16:00.005Z,https://www.automation.com/getmedia/8e3ce6f0-54d7-4552-99d8-c9c8946a40d2/Logistics-and-supply-chain-news-SEpt-22-2021-web.png?width=500&height=313&ext=.png,
My Curated List of AI and Machine Learning Resources from Around the Web | by Robbie Allen | Machine Learning in Practice | Medium,AI,https://medium.com/machine-learning-in-practice/my-curated-list-of-ai-and-machine-learning-resources-from-around-the-web-9a97823b8524,AI,AI,2022-11-15T18:07:31.661Z,https://miro.medium.com/max/1200/1*fWimaPmb6jGu-efQG9AiRA.png,
AI Resources,AI,https://www.airesources.org/,AI,AI,2022-11-15T18:05:56.526Z,,
Responsible AI Resources – Microsoft AI,AI,https://www.microsoft.com/en-us/ai/responsible-ai-resources,AI,AI,2022-11-15T18:02:08.335Z,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWGaS4?ver=d4bf,
Think with Google: Marketing Research & Digital Trends,AI,https://www.thinkwithgoogle.com/intl/en-apac/,AI,AI,2022-11-15T17:59:09.617Z,https://www.thinkwithgoogle.com/_qs/static/img/global/twg-logo-large.jpg,
Binary Cross Entropy/Log Loss for Binary Classification,Data Science,https://www.analyticsvidhya.com/blog/2021/03/binary-cross-entropy-log-loss-for-binary-classification/,AI ML,"Big Data, Data science, Deep Learning, Machine Learning",2023-03-09T10:35:14.566Z,https://cdn.analyticsvidhya.com/wp-content/uploads/2020/08/Classification-Machine-Learning-Algorithms.jpg,
6.3. Preprocessing data — scikit-learn 1.2.1 documentation,Preprocessing,http://scikit-learn.org/stable/modules/preprocessing.html,AI ML,AI,2023-03-01T08:53:09.186Z,https://scikit-learn/stable/_images/sphx_glr_plot_map_data_to_normal_001.png,
Neural networks and deep learning,Neural networks,http://neuralnetworksanddeeplearning.com/chap1.html,AI ML,"AI, Neural Networks",2023-03-01T10:07:45.162Z,,
What are Recurrent Neural Networks? | IBM,Neural networks,https://www.ibm.com/topics/recurrent-neural-networks,AI ML,RNN Recurrent Neural networks,2023-03-01T08:09:46.777Z,,
A Recipe for Training Neural Networks,Neural net,http://karpathy.github.io/2019/04/25/recipe/,AI ML,"AI, Neural Networks, Big Data, Data science, Deep Learning, Machine Learning",2023-03-01T08:05:28.637Z,,
Top 10 Most Popular Robotic Process Automation Tools in 2023,RPA,https://www.analyticsinsight.net/top-10-most-popular-robotic-process-automation-tools-in-2023/,AI ML,RPA,2023-02-12T07:01:31.599Z,,
Step-By-Step Guide to Principal Component Analysis With Example,"PCA,",https://www.turing.com/kb/guide-to-principal-component-analysis,AI ML,PCA,2023-02-09T16:58:00.532Z,https://d2mk45aasx86xg.cloudfront.net/PCA_937e1c5597.webp,
Hire the World’s Most Deeply Vetted Remote Developers | Turing,Knowledge,https://www.turing.com/,AI ML,"References, Data science, AI",2023-02-09T16:58:30.548Z,https://www.turing.com/img/turing_hire_top_remote_developers.png,
All You Need to Know About Using Hashmaps in Python,Reference,https://www.turing.com/kb/how-to-use-hashmap-in-python,AI ML,References,2023-02-09T17:00:31.087Z,https://d2mk45aasx86xg.cloudfront.net/How_to_Use_Hashmap_in_Python_11zon_61ab75a75c.webp,
Background: What is a Generative Model? | Machine Learning | Google Developers,Generative M. L,"https://developers.google.com/machine-learning/gan/generative#:~:text=A%20generative%20model%20includes%20the,to%20a%20sequence%20of%20words.",AI ML,"Big Data, Data science",2023-02-09T03:53:17.761Z,https://www.gstatic.com/devrel-devsite/prod/v1cfe30952218fac985c78c6c0da0de11fade09219719e8a9dbc367e6d5d7cee9/developers/images/opengraph/white.png,
Introduction to using machine learning | TechTarget,Machine Learning,https://www.techtarget.com/searchenterpriseai/post/Introduction-to-using-machine-learning,AI ML,AI,2023-02-09T03:00:33.179Z,https://cdn.ttgtmedia.com/visuals/searchEnterpriseAI/machine-learning-platforms/searchEnterpriseAI_010.jpg,
About Expert.ai | The Natural Language Platform for the Enterprise | expert.ai,AI,https://www.expert.ai/about-us/,AI ML,AI,2023-02-07T14:14:57.520Z,https://www.expert.ai/wp-content/uploads/2021/01/expertai-natural-language-understanding.jpg,
"Data Analytics - Data, Data Science, Machine Learning, AI, BI, Blockchain",Data Science,https://vitalflux.com/,AI ML,"Machine Learning, Big Data, Data science",2023-02-02T11:39:47.574Z,,
Principal Component Analysis (PCA) Explained | Built In,PCA,https://builtin.com/data-science/step-step-explanation-principal-component-analysis,AI ML,Machine Learning,2023-02-02T09:38:16.562Z,https://builtin.com/sites/www.builtin.com/files/styles/og/public/2022-09/principal-component-analysis.jpg,
Understanding Loss Function in Deep Learning - Analytics Vidhya,Deep learning,https://www.analyticsvidhya.com/blog/2022/06/understanding-loss-function-in-deep-learning/,AI ML,"Machine Learning, Deep Learning",2023-01-13T04:20:13.039Z,https://cdn.analyticsvidhya.com/wp-content/uploads/2019/06/Loss-Functions-in-Machine-Learning.jpg,
Introduction to deep learning | Python,Deep learning,https://m.datacamp.com/courses/introduction-to-deep-learning-in-python/basics-of-deep-learning-and-neural-networks?ex=1,AI ML,Big Data,2023-01-14T09:50:36.566Z,,
Teradata® Python Package User Guide • Reader • Teradata Online Documentation | Quick access to technical manuals,TeraData,https://docs.teradata.com/r/Teradata-Python-Package-User-Guide/February-2020/DataFrames-for-Tables-and-Views/DataFrame-Manipulation/loc-and-iloc,AI ML,"References, Big Data",2023-01-28T10:48:12.851Z,,
How to filter rows in pandas by regex?,Regular expression,https://www.includehelp.com/python/how-to-filter-rows-in-pandas-by-regex.aspx,AI ML,"Big Data, References, Data science",2023-01-28T07:54:18.940Z,,
The ChatGPT Cheat Sheet - KDnuggets,ChatGPT,https://www.kdnuggets.com/2023/01/chatgpt-cheat-sheet.html,AI ML,AI,2023-01-28T03:31:59.070Z,https://www.kdnuggets.com/wp-content/uploads/chatgpt-cheat-sheet.jpg,
Finding Actionable Insights using Keras Autoencoders - UdemyFreebies,Free,https://www.udemyfreebies.com/free-udemy-course/finding-actionable-insights-using-autoencoders,AI ML,Autoencoder,2023-01-14T15:54:16.993Z,,
A Neural Network Playground,Neural network,"https://playground.tensorflow.org/#activation=relu&regularization=L1&batchSize=20&dataset=xor&regDataset=reg-plane&learningRate=0.03&regularizationRate=0.001&noise=10&networkShape=8,2&seed=0.48900&showTestData=false&discretize=false&percTrainData=40&x=true&y=true&xTimesY=false&xSquared=false&ySquared=false&cosX=false&sinX=false&cosY=false&sinY=false&collectStats=false&problem=regression&initZero=false&hideText=false",AI ML,AI,2023-01-13T19:16:04.493Z,https://playground.tensorflow.org/preview.png,
Overview of GAN Structure | Machine Learning | Google Developers,GAN,https://developers.google.com/machine-learning/gan/gan_structure,AI ML,"AI, keeps",2023-01-13T15:14:57.247Z,https://www.gstatic.com/devrel-devsite/prod/v96c9f4c7361e162d551bf5e976e44bdb25c320f124e0cabc0d8149eef7bbdf40/developers/images/opengraph/white.png,
Neural networks and deep learning,Neural Networks,http://neuralnetworksanddeeplearning.com/index.html,AI ML,Deep Learning,2023-01-12T18:36:44.144Z,,
DMLC | Distributed (Deep) Machine Learning Common,Distributed machine learning,http://dmlc.io/,AI ML,"Data science, Deep Learning",2023-01-12T06:31:49.460Z,,
Cross-Validation in Machine Learning: How to Do It Right - neptune.ai,Neptune AI,https://neptune.ai/blog/cross-validation-in-machine-learning-how-to-do-it-right,AI ML,AI,2023-01-10T19:26:53.497Z,https://neptune.ai/wp-content/uploads/2022/10/Cross-Validation-in-Machine-Learning-How-to-Do-It-Right.jpg,
What Is Deep Learning? | Toolbox | Spiceworks,Deep Learning,https://www.spiceworks.com/tech/artificial-intelligence/articles/what-is-deep-learning/,AI ML,Deep Learning,2023-01-07T15:13:03.659Z,https://pimages.toolbox.com/24/ab/9824cae74812b962651520c7e80d/title-image.png,
Architectural Pattern - Category - Software-Pattern.org,Architectural Pattern  - Software-Pattern.org,http://software-pattern.org/Category/5,AI ML,"Product, Architecture",2023-01-03T05:10:14.735Z,,
Architectural Patterns: Blackboard,Blackboard pattern,http://www.openloop.com/softwareEngineering/patterns/architecturePattern/arch_Blackboard.htm,AI ML,"Architecture, AI",2023-01-03T05:07:41.051Z,,
ChatGPT: Optimizing Language Models for Dialogue,Chat,https://openai.com/blog/chatgpt/,AI ML,AI,2022-12-23T13:22:06.285Z,https://openai.com/content/images/2022/12/chatgpt.jpg,
8 types of bias in data analysis and how to avoid them | TechTarget,Bias,https://www.techtarget.com/searchbusinessanalytics/feature/8-types-of-bias-in-data-analysis-and-how-to-avoid-them,AI ML,Data science,2022-12-13T14:10:46.044Z,https://cdn.ttgtmedia.com/visuals/searchEnterpriseAI/ai-enterprise-apps/searchEnterpriseAI_027.png,
The Scala Programming Language,Scala,https://www.scala-lang.org/,AI ML,"AI, Data science",2022-12-06T03:58:55.274Z,https://www.scala-lang.org/resources/img/scala-spiral-3d-2-toned-down.png,
What Is Spark | Pyspark Tutorial For Beginners,Pyspark,https://www.analyticsvidhya.com/blog/2019/10/pyspark-for-beginners-first-steps-big-data-analysis/,AI ML,"Data science, Machine Learning",2022-12-06T03:57:08.025Z,https://cdn.analyticsvidhya.com/wp-content/uploads/2019/10/pyspark.png,
Plotly: Low-Code Data App Development,Plotly,https://plotly.com/,AI ML,"Analytics, Data science",2022-11-29T01:59:16.570Z,"https://images.prismic.io/plotly-marketing-website-2/45139d28-6d34-4168-9480-2c57ee3a81c8_plotly.png?auto=compress,format",
Quick Start | Prophet,Face book forecasts,http://facebook.github.io/prophet/docs/quick_start.html,AI ML,"AI, Analytics, Data, Data science",2022-11-29T01:55:40.272Z,https://facebook.github.io/prophet/static/og_image.png,
Mastering Software Development in R,R,https://bookdown.org/rdpeng/RProgDA/,AI ML,R,2022-11-29T00:57:11.923Z,https://github.com/rdpeng/RProgDAcover_image.png,
What is a Semantic Layer and How to Build it for Future Data Workloads?,Semantic,https://www.kyvosinsights.com/blog/what-is-a-semantic-layer-how-to-build-one-that-can-handle-future-data-workloads/,AI ML,"Data, Data science, Analytics",2022-11-19T03:05:36.141Z,https://www.kyvosinsights.com/wp-content/uploads/2022/07/What-is-a-Semantic-Layer-How-to-Build-it-for-Future-Data-Workloads.png,
"RapidMiner | Amplify the Impact of Your People, Expertise & Data",Rapid miner,https://rapidminer.com/,AI ML,Machine Learning,2022-11-18T14:48:45.612Z,https://rapidminer.com/wp-content/uploads/2022/04/Homepage-1.jpg,
How Naive Bayes Algorithm Works? (with example and full code) | ML+,Naive Bayes,https://www.machinelearningplus.com/predictive-modeling/how-naive-bayes-algorithm-works-with-example-and-full-code/,AI ML,Naive Bayes,2022-11-17T16:09:04.399Z,https://www.machinelearningplus.com/wp-content/uploads/2018/11/naive_bayes_feature.png,
10 Examples of Linear Algebra in Machine Learning,"Linear algebra,",https://machinelearningmastery.com/examples-of-linear-algebra-in-machine-learning/,AI ML,Linear Algebra,2022-11-15T08:31:53.368Z,https://machinelearningmastery.com/wp-content/uploads/2018/03/10-Examples-of-Linear-Algebra-in-Machine-Learning.jpg,
Welcome to the Jupyter Guide to Linear Algebra — Jupyter Guide to Linear Algebra,Linear algebra,https://bvanderlei.github.io/jupyter-guide-to-linear-algebra/intro.html,AI ML,Linear Algebra,2022-11-15T06:40:07.285Z,,
jakevdp/PythonDataScienceHandbook: Python Data Science Handbook: full text in Jupyter Notebooks,Datascience,https://github.com/jakevdp/PythonDataScienceHandbook,AI ML,"Data science, Deep Learning",2022-10-28T12:50:33.476Z,https://opengraph.githubassets.com/4932f721cdb879413f565926ef2fbc4cc99f6eb377bc25350084756cce1b6be9/jakevdp/PythonDataScienceHandbook,
Statistics and Machine Learning Toolbox - MATLAB,Statistics,https://www.mathworks.com/products/statistics.html,AI ML,Statistics,2022-11-01T11:32:49.221Z,https://www.mathworks.com/content/dam/mathworks/mathworks-dot-com/images/responsive/supporting/products/statistics/stats-and-machine-learning-thumbnail.jpg,
TFLearn | TensorFlow Deep Learning Library,Tensor Flow,http://tflearn.org/,AI ML,"Machine Learning, Data science, Deep Learning",2022-10-24T06:41:22.249Z,,
Machine Learning - GeeksforGeeks,Machine learning,https://www.geeksforgeeks.org/machine-learning/,AI ML,"Data science, AI, Data Science, Machine Learning",2022-10-16T09:36:45.025Z,https://media.geeksforgeeks.org/wp-content/cdn-uploads/gfg_200x200-min.png,
What Is Logistic Regression?,Logistic Regression,https://www.mastersindatascience.org/learning/machine-learning-algorithms/logistic-regression/,AI ML,"Machine Learning, Logistic Regression, Supervised learning algorithm, probabilistic",2022-10-09T08:54:19.207Z,,
Tutorial: Learning Curves for Machine Learning in Python for Data Science,Learning curves,https://www.dataquest.io/blog/learning-curves-machine-learning/,AI ML,"Data Science, Machine Learning",2022-10-09T08:24:03.808Z,,
ML_reg4,Ridge Regression,https://tung-dn.github.io/prog_ML_reg4.html,AI ML,Machine Learning,2022-10-09T04:34:50.102Z,,
"What is LASSO Regression Definition, Examples and Techniques",Machine learning,https://www.mygreatlearning.com/blog/understanding-of-lasso-regression/,AI ML,"Data Science, Machine Learning",2022-10-08T17:56:43.320Z,https://d1m75rqqgidzqn.cloudfront.net/wp-data/2020/09/03095848/iStock-926051128.jpg,
